Body,Task:Parent.ExternalId__c,Title,Type
Working on a new feature that will revolutionize our product. (Item 0),TASK_00576,Roadmap Discussion,TextPost
The demo went really well. Thanks for all the support! (Item 1),TASK_00187,Team News,TextPost
Great discussion today about the future roadmap. (Item 2),TASK_00514,Bug Report,TextPost
Don't forget to update your status on the project board. (Item 3),TASK_00041,Industry News,TextPost
Exploring new ways to optimize our workflow. (Item 4),TASK_00843,System Alert,TextPost
Great work everyone on the recent milestones. (Item 5),TASK_01099,Process Improvement,TextPost
Don't forget to update your status on the project board. (Item 6),TASK_00232,Process Improvement,TextPost
Just finished a great meeting with the client! (Item 7),TASK_00091,Roadmap Discussion,TextPost
Looking for feedback on the new UI mockups. (Item 8),TASK_00510,Project Update,TextPost
Just shared the meeting minutes in the shared folder. (Item 9),TASK_00172,Status Update,TextPost
Looking forward to the upcoming product launch. (Item 10),TASK_00709,Feature Spotlight,TextPost
Looking for feedback on the new UI mockups. (Item 11),TASK_00051,Goal Achievement,TextPost
Don't forget to update your status on the project board. (Item 12),TASK_00380,Internal Announcement,TextPost
Working on a new feature that will revolutionize our product. (Item 13),TASK_00884,Bug Report,TextPost
Found a minor bug in the staging environment. Investigating. (Item 14),TASK_00405,System Alert,TextPost
Working on a new feature that will revolutionize our product. (Item 15),TASK_00136,Project Update,TextPost
Quick question about the recent system update. (Item 16),TASK_00127,Team News,TextPost
The demo went really well. Thanks for all the support! (Item 17),TASK_00587,UI Review,TextPost
Don't forget to update your status on the project board. (Item 18),TASK_00177,Roadmap Discussion,TextPost
Working on a new feature that will revolutionize our product. (Item 19),TASK_00146,Workflow Idea,TextPost
Initial thoughts on the project proposal look promising. (Item 20),TASK_00284,Feedback Required,TextPost
Kudos to the team for hitting the quarterly targets! (Item 21),TASK_00213,System Alert,TextPost
Happy to announce our new partnership. (Item 22),TASK_00748,Industry News,TextPost
Successfully migrated the data to the new server. (Item 23),TASK_00052,Milestone Reached,TextPost
Important: Please review the attached document by EOD. (Item 24),TASK_00305,Feedback Required,TextPost
Looking for feedback on the new UI mockups. (Item 25),TASK_00063,Maintenance Notice,TextPost
Just finished a great meeting with the client! (Item 26),TASK_00268,Team News,TextPost
Working on a new feature that will revolutionize our product. (Item 27),TASK_00882,Status Update,TextPost
Don't forget to update your status on the project board. (Item 28),TASK_00467,Project Update,TextPost
Don't forget to update your status on the project board. (Item 29),TASK_00021,Workflow Idea,TextPost
Can anyone help me with the latest report? (Item 30),TASK_00612,Team News,TextPost
Initial thoughts on the project proposal look promising. (Item 31),TASK_00267,Team News,TextPost
Exploring new ways to optimize our workflow. (Item 32),TASK_00128,Workflow Idea,TextPost
Just finished a great meeting with the client! (Item 33),TASK_00749,Quick Memo,TextPost
Just shared the meeting minutes in the shared folder. (Item 34),TASK_00385,Maintenance Notice,TextPost
Can anyone help me with the latest report? (Item 35),TASK_00077,Feedback Required,TextPost
Just shared the meeting minutes in the shared folder. (Item 36),TASK_00523,Weekly Sync,TextPost
The demo went really well. Thanks for all the support! (Item 37),TASK_00072,Milestone Reached,TextPost
Found a minor bug in the staging environment. Investigating. (Item 38),TASK_00040,Status Update,TextPost
Just finished a great meeting with the client! (Item 39),TASK_00669,Status Update,TextPost
Great discussion today about the future roadmap. (Item 40),TASK_00948,Quick Memo,TextPost
Just finished a great meeting with the client! (Item 41),TASK_00392,Feedback Required,TextPost
Exploring new ways to optimize our workflow. (Item 42),TASK_00084,UI Review,TextPost
Happy to announce our new partnership. (Item 43),TASK_00208,Workflow Idea,TextPost
Kudos to the team for hitting the quarterly targets! (Item 44),TASK_00876,Milestone Reached,TextPost
Initial thoughts on the project proposal look promising. (Item 45),TASK_00631,Demo Success,TextPost
Successfully migrated the data to the new server. (Item 46),TASK_01012,Internal Announcement,TextPost
Quick question about the recent system update. (Item 47),TASK_00020,UI Review,TextPost
Found a minor bug in the staging environment. Investigating. (Item 48),TASK_00761,Industry News,TextPost
The demo went really well. Thanks for all the support! (Item 49),TASK_00252,Workflow Idea,TextPost
Check out this interesting article on industry trends. (Item 50),TASK_00340,Industry News,TextPost
The demo went really well. Thanks for all the support! (Item 51),TASK_00967,Industry News,TextPost
Important: Please review the attached document by EOD. (Item 52),TASK_00097,Maintenance Notice,TextPost
Don't forget to update your status on the project board. (Item 53),TASK_00053,Feedback Required,TextPost
Check out this interesting article on industry trends. (Item 54),TASK_00734,Internal Announcement,TextPost
Exploring new ways to optimize our workflow. (Item 55),TASK_00865,Client Meeting,TextPost
Important: Please review the attached document by EOD. (Item 56),TASK_00009,Weekly Sync,TextPost
Important: Please review the attached document by EOD. (Item 57),TASK_00067,Project Update,TextPost
Can anyone help me with the latest report? (Item 58),TASK_00293,Feature Spotlight,TextPost
Just finished a great meeting with the client! (Item 59),TASK_00826,Milestone Reached,TextPost
Great discussion today about the future roadmap. (Item 60),TASK_00929,UI Review,TextPost
Don't forget to update your status on the project board. (Item 61),TASK_00223,Client Meeting,TextPost
Don't forget to update your status on the project board. (Item 62),TASK_00621,Internal Announcement,TextPost
Successfully migrated the data to the new server. (Item 63),TASK_00018,Goal Achievement,TextPost
Great discussion today about the future roadmap. (Item 64),TASK_00583,Feature Spotlight,TextPost
Working on a new feature that will revolutionize our product. (Item 65),TASK_00687,Goal Achievement,TextPost
Important: Please review the attached document by EOD. (Item 66),TASK_00334,Maintenance Notice,TextPost
Exploring new ways to optimize our workflow. (Item 67),TASK_00861,Weekly Sync,TextPost
Great work everyone on the recent milestones. (Item 68),TASK_00175,Workflow Idea,TextPost
Reminder: Team sync is tomorrow at 10 AM. (Item 69),TASK_00088,Goal Achievement,TextPost
Found a minor bug in the staging environment. Investigating. (Item 70),TASK_01064,Feedback Required,TextPost
Looking for feedback on the new UI mockups. (Item 71),TASK_00462,Industry News,TextPost
Looking for feedback on the new UI mockups. (Item 72),TASK_00166,System Alert,TextPost
Check out this interesting article on industry trends. (Item 73),TASK_00233,Workflow Idea,TextPost
Just finished a great meeting with the client! (Item 74),TASK_00315,Feedback Required,TextPost
Reminder: Team sync is tomorrow at 10 AM. (Item 75),TASK_00853,Process Improvement,TextPost
Check out this interesting article on industry trends. (Item 76),TASK_00075,Roadmap Discussion,TextPost
Found a minor bug in the staging environment. Investigating. (Item 77),TASK_00974,Workflow Idea,TextPost
Found a minor bug in the staging environment. Investigating. (Item 78),TASK_00061,Industry News,TextPost
Successfully migrated the data to the new server. (Item 79),TASK_00849,Client Meeting,TextPost
The demo went really well. Thanks for all the support! (Item 80),TASK_00318,Process Improvement,TextPost
